Name,World,Role,Link
Destiny Skyforged,Raiden,Owner,https://discord.com/channels/1180989907930468392/1182839015897043005
Taniri Danolnith,Raiden,Owner,https://discord.com/channels/1180989907930468392/1182922726458007582
Toshinori Hayashi,Raiden,Head Bartender,https://discord.com/channels/1180989907930468392/1198720874002514067
Biggie Cheesus,Raiden,Head Bartender,https://discord.com/channels/1180989907930468392/1276585583602303150
O'mega Lul,Raiden,Bartender,https://discord.com/channels/1180989907930468392/1272389437384294482
Remy Mochi,Raiden,Bartender,https://discord.com/channels/1180989907930468392/1458568152194613258
A'scari Diamonds,Shiva,Head Photographer,https://discord.com/channels/1180989907930468392/1350184607273979965
Hyorin Maru,Shiva,Photographer,https://discord.com/channels/1180989907930468392/1397284755912790067
Lucy Anthesia,Alpha,Photographer,https://discord.com/channels/1180989907930468392/1246063657385721856
Oseya Eleazar,Shiva,Head Courtesan,https://discord.com/channels/1180989907930468392/1359136337717891192
Neiyu Kinno,Shiva,Head Gamba Dealer,https://discord.com/channels/1180989907930468392/1446436928877760574
Ace Umbra,Unknown,Gamba Dealer,https://discord.com/channels/1180989907930468392/1486716768151142591
Kisara Tendo,Unknown,Gamba Dealer,https://discord.com/channels/1180989907930468392/1489791835906773062
Yami Tsuda,Unknown,Gamba Dealer,https://discord.com/channels/1180989907930468392/1474429365180956775
Sakuya Haibara,Unknown,Gamba Dealer,https://discord.com/channels/1180989907930468392/1479435600099545214
Mai Zoldyck,Unknown,Gamba Dealer,https://discord.com/channels/1180989907930468392/1428688511250202645
Kazu Mochi,Raiden,Head Hyper,https://discord.com/channels/1180989907930468392/1441817994966601920
Sakuga Vanhellsing,Raiden,Hyper,https://discord.com/channels/1180989907930468392/1220686081444417636
Iris Acacia,Unknown,Head Receptionist,https://discord.com/channels/1180989907930468392/1218387133275045998
Zhloe A'liapoh,Unknown,Receptionist,https://discord.com/channels/1180989907930468392/1482168103533150420
Toyota Suzuki,Shiva,Receptionist,https://discord.com/channels/1180989907930468392/1418949120269488269
Mel Gehenna,Raiden,Receptionist,https://discord.com/channels/1180989907930468392/1417034518304657468
Melodia Renascor,Raiden,Receptionist,https://discord.com/channels/1180989907930468392/1329858851054293083
Sara Nightbringer,Raiden,Head Security,https://discord.com/channels/1180989907930468392/1288929984668241940
Fwog Lilyhop,Spriggan,Security,https://discord.com/channels/1180989907930468392/1416503060162678984
Nihal Windland,Unknown,Shouter,https://discord.com/channels/1180989907930468392/1213530650674593882
Nyxara Elissyn,Unknown,Shouter,https://discord.com/channels/1180989907930468392/1481965828672065588
